LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density,MSOA11CD,RGN11CD
E01000001,449.0,0.0,0.0,0.0,0.0,6.208,9,69.823,11363.6,95304.0,7182.0,E02000001,E12000007
E01000002,449.0,0.0,0.0,0.0,0.0,5.143,10,83.782,6062.2,82022.0,5947.0,E02000001,E12000007
E01000003,449.0,0.0,0.0,0.0,0.0,19.402,5,41.742,27385.4,91114.0,4657.0,E02000001,E12000007
E01000005,449.0,0.0,0.0,0.0,0.0,28.652,3,85.889,5801.7,69722.0,4988.0,E02000001,E12000007
E01000006,316.0,0.0,0.0,0.0,0.0,19.837,5,22.456,12585.3,49985.0,970.0,E02000017,E12000007
E01000007,1509.0,1.0,1.0,1.0,1.0,31.576,3,33.302,14540.0,64688.0,2618.0,E02000016,E12000007
E01000008,626.0,0.0,0.0,0.0,1.0,37.596,2,7.391,9271.7,60062.0,3038.0,E02000016,E12000007
E01000009,884.0,0.0,1.0,1.0,1.0,32.844,3,38.364,14104.8,60870.0,1889.0,E02000017,E12000007
E01000010,871.0,0.0,0.0,0.0,1.0,32.437,3,32.286,13504.7,64101.0,3418.0,E02000016,E12000007
E01000011,321.0,0.0,0.0,0.0,0.0,30.679,3,31.917,18549.6,70124.0,1339.0,E02000017,E12000007
E01000012,479.0,0.0,0.0,0.0,0.0,34.714,2,16.231,16702.3,40998.0,2236.0,E02000016,E12000007
E01000013,800.0,0.0,1.0,1.0,1.0,38.997,2,13.145,9003.8,45492.0,805.0,E02000014,E12000007
E01000014,348.0,0.0,0.0,0.0,0.0,35.67,2,7.46,5131.9,25490.0,432.0,E02000014,E12000007
E01000015,423.0,0.0,0.0,0.0,0.0,33.632,2,8.295,8617.2,32065.0,803.0,E02000010,E12000007
E01000016,283.0,0.0,0.0,0.0,0.0,32.839,3,5.116,9310.9,33677.0,652.0,E02000010,E12000007
E01000017,272.0,0.0,0.0,0.0,0.0,39.004,2,8.203,10871.2,37113.0,535.0,E02000010,E12000007
E01000018,347.0,0.0,0.0,0.0,0.0,33.406,2,7.378,10212.8,44989.0,490.0,E02000010,E12000007
E01000019,239.0,0.0,0.0,0.0,0.0,33.62,2,4.587,9044.8,51578.0,814.0,E02006799,E12000007
E01000020,301.0,0.0,0.0,0.0,0.0,36.035,2,6.753,11704.1,48494.0,578.0,E02006799,E12000007
E01000021,446.0,0.0,0.0,0.0,0.0,38.888,2,4.865,9953.0,48942.0,665.0,E02000009,E12000007
E01000022,216.0,0.0,0.0,0.0,0.0,34.413,2,6.399,11512.1,39124.0,678.0,E02000009,E12000007
E01000023,323.0,0.0,0.0,0.0,0.0,36.877,2,7.015,11083.9,53989.0,1363.0,E02000009,E12000007
E01000024,237.0,0.0,0.0,0.0,0.0,29.339,3,7.436,11547.4,56372.0,453.0,E02000009,E12000007
E01000025,326.0,0.0,0.0,0.0,0.0,36.702,2,5.751,12516.3,28245.0,418.0,E02000009,E12000007
E01000027,486.0,0.0,0.0,0.0,0.0,37.347,2,3.858,1412.0,14129.0,552.0,E02000002,E12000007
E01000028,348.0,0.0,0.0,0.0,0.0,40.078,2,3.015,12635.6,64319.0,707.0,E02000002,E12000007
E01000029,310.0,0.0,0.0,0.0,0.0,22.503,4,2.517,7080.6,55798.0,861.0,E02000002,E12000007
E01000030,707.0,0.0,0.0,1.0,1.0,38.415,2,4.821,8949.0,67596.0,1586.0,E02000002,E12000007
E01000031,414.0,0.0,0.0,0.0,0.0,22.672,4,4.077,2098.6,15490.0,294.0,E02000003,E12000007
E01000032,593.0,0.0,0.0,0.0,1.0,29.958,3,6.686,5534.0,29188.0,606.0,E02000003,E12000007
E01000033,281.0,0.0,0.0,0.0,0.0,37.978,2,3.915,10619.4,41882.0,602.0,E02000007,E12000007
E01000034,285.0,0.0,0.0,0.0,0.0,35.895,2,3.511,3066.6,28995.0,761.0,E02000004,E12000007
E01000035,612.0,0.0,0.0,0.0,1.0,26.175,4,6.778,4681.4,26372.0,570.0,E02000011,E12000007
E01000036,363.0,0.0,0.0,0.0,0.0,19.27,5,7.346,3510.9,26786.0,533.0,E02000011,E12000007
E01000037,327.0,0.0,0.0,0.0,0.0,17.988,5,2.323,7270.8,40061.0,749.0,E02000004,E12000007
E01000038,170.0,0.0,0.0,0.0,0.0,19.646,5,8.361,7547.9,30890.0,325.0,E02000004,E12000007
E01000039,247.0,0.0,0.0,0.0,0.0,22.288,4,1.997,1143.8,23309.0,780.0,E02000004,E12000007
E01000040,393.0,0.0,0.0,0.0,0.0,34.608,2,9.008,11007.6,47918.0,1653.0,E02000020,E12000007
E01000041,251.0,0.0,0.0,0.0,0.0,33.173,3,5.721,12070.8,36328.0,488.0,E02000018,E12000007
E01000042,401.0,0.0,0.0,0.0,0.0,41.573,2,8.487,8140.1,52799.0,1370.0,E02000018,E12000007
E01000043,285.0,0.0,0.0,0.0,0.0,28.075,3,7.268,5769.5,34234.0,844.0,E02000020,E12000007
E01000044,352.0,0.0,0.0,0.0,0.0,28.389,3,8.712,11641.3,37384.0,1037.0,E02000017,E12000007
E01000045,818.0,0.0,1.0,1.0,1.0,35.688,2,7.087,5776.1,62324.0,2215.0,E02000018,E12000007
E01000046,297.0,0.0,0.0,0.0,0.0,29.763,3,6.092,12578.8,36744.0,808.0,E02000018,E12000007
E01000048,767.0,0.0,0.0,1.0,1.0,44.704,1,8.137,11681.7,47636.0,1764.0,E02000022,E12000007
E01000049,670.0,0.0,0.0,1.0,1.0,41.172,2,7.736,9293.5,62444.0,1905.0,E02000022,E12000007
E01000050,397.0,0.0,0.0,0.0,0.0,34.701,2,23.446,13355.1,47559.0,1664.0,E02000020,E12000007
E01000051,207.0,0.0,0.0,0.0,0.0,36.941,2,13.439,16621.6,48627.0,1139.0,E02000022,E12000007
E01000052,407.0,0.0,0.0,0.0,0.0,33.284,2,7.912,11857.8,55143.0,2238.0,E02000020,E12000007
E01000053,378.0,0.0,0.0,0.0,0.0,40.044,2,5.843,8938.6,74729.0,2565.0,E02000021,E12000007
E01000054,317.0,0.0,0.0,0.0,0.0,29.788,3,6.314,10928.7,41336.0,643.0,E02000019,E12000007
E01000055,306.0,0.0,0.0,0.0,0.0,30.898,3,7.786,11678.1,58248.0,1113.0,E02000019,E12000007
E01000056,674.0,0.0,0.0,1.0,1.0,35.903,2,1.628,6986.9,67505.0,1618.0,E02000019,E12000007
E01000057,442.0,0.0,0.0,0.0,0.0,32.887,3,9.981,10494.2,51542.0,908.0,E02000013,E12000007
E01000058,414.0,0.0,0.0,0.0,0.0,31.763,3,7.259,11717.9,26376.0,472.0,E02000019,E12000007
E01000059,280.0,0.0,0.0,0.0,0.0,32.331,3,5.435,8201.4,37372.0,778.0,E02000014,E12000007
E01000060,855.0,0.0,1.0,1.0,1.0,36.154,2,4.728,3964.4,33837.0,1177.0,E02000007,E12000007
E01000061,709.0,0.0,0.0,1.0,1.0,46.283,1,7.364,3153.2,26648.0,1170.0,E02000007,E12000007
E01000062,466.0,0.0,0.0,0.0,0.0,26.669,3,4.488,10022.6,45617.0,996.0,E02000007,E12000007
E01000063,323.0,0.0,0.0,0.0,0.0,33.371,2,7.428,9812.4,50060.0,1457.0,E02000005,E12000007
E01000064,584.0,0.0,0.0,0.0,1.0,35.283,2,4.115,10996.2,44939.0,1060.0,E02000007,E12000007
E01000065,376.0,0.0,0.0,0.0,0.0,39.89,2,5.83,8484.6,43357.0,782.0,E02000008,E12000007
E01000066,370.0,0.0,0.0,0.0,0.0,25.763,4,3.484,10204.2,29758.0,659.0,E02000012,E12000007
E01000067,366.0,0.0,0.0,0.0,0.0,20.973,5,5.811,11620.8,45293.0,759.0,E02000012,E12000007
E01000068,316.0,0.0,0.0,0.0,0.0,25.603,4,16.953,5284.1,38180.0,995.0,E02000017,E12000007
