LSOA11CD,imd_score,imd_decile
E01000001,6.208,9
E01000002,5.143,10
E01000003,19.402,5
E01000005,28.652,3
E01032739,13.584,7
E01032740,15.841,6
E01000006,19.837,5
E01000007,31.576,3
E01000008,37.596,2
E01000009,32.844,3
E01000010,32.437,3
E01000011,30.679,3
E01000012,34.714,2
E01000013,38.997,2
E01000014,35.67,2
E01000015,33.632,2
E01000016,32.839,3
E01000017,39.004,2
E01000018,33.406,2
E01000019,33.62,2
E01000020,36.035,2
E01000021,38.888,2
E01000022,34.413,2
E01000023,36.877,2
E01000024,29.339,3
E01000025,36.702,2
E01000027,37.347,2
E01000028,40.078,2
E01000029,22.503,4
E01000030,38.415,2
E01000031,22.672,4
E01000032,29.958,3
E01000033,37.978,2
E01000034,35.895,2
E01000035,26.175,4
E01000036,19.27,5
E01000037,17.988,5
E01000038,19.646,5
E01000039,22.288,4
E01000040,34.608,2
E01000041,33.173,3
E01000042,41.573,2
E01000043,28.075,3
E01000044,28.389,3
E01000045,35.688,2
E01000046,29.763,3
E01000048,44.704,1
E01000049,41.172,2
E01000050,34.701,2
E01000051,36.941,2
E01000052,33.284,2
E01000053,40.044,2
E01000054,29.788,3
E01000055,30.898,3
E01000056,35.903,2
E01000057,32.887,3
E01000058,31.763,3
E01000059,32.331,3
E01000060,36.154,2
E01000061,46.283,1
E01000062,26.669,3
E01000063,33.371,2
E01000064,35.283,2
E01000065,39.89,2
E01000066,25.763,4
E01000067,20.973,5
E01000068,25.603,4
E01000069,16.375,6
E01000070,21.038,5
E01000071,18.848,5
E01000072,41.016,2
E01000073,38.757,2
E01000074,35.044,2
E01000075,36.999,2
E01000076,36.246,2
E01000077,41.032,2
E01000078,35.033,2
E01000079,34.522,2
E01000080,33.185,3
E01000081,30.608,3
E01000082,27.895,3
E01000083,34.377,2
E01000084,39.815,2
E01000085,35.154,2
E01000086,38.156,2
E01000087,34.357,2
E01000088,28.849,3
E01000089,28.968,3
E01000090,28.317,3
E01000091,42.183,2
E01000092,33.768,2
E01000093,46.922,1
E01000094,28.182,3
E01000095,32.254,3
E01000096,40.926,2
E01000097,38.009,2
E01000098,39.405,2
E01000099,29.266,3
E01000100,31.83,3
E01000101,40.463,2
E01000102,42.631,2
E01000103,32.894,3
E01000104,34.672,2
E01000105,44.149,1
E01000106,43.523,2
E01000107,28.332,3
E01000108,28.166,3
E01000109,25.691,4
E01000110,17.741,5
E01000111,28.903,3
E01000112,24.743,4
E01000113,25.268,4
E01000114,23.288,4
E01032580,34.123,2
E01033587,35.019,2
E01033588,35.248,2
E01000115,6.227,9
E01000116,7.79,9
E01000117,9.642,8
E01000118,9.812,8
E01000119,11.589,7
E01000120,5.902,10
E01000121,36.203,2
E01000122,10.152,8
E01000123,11.048,8
E01000124,23.589,4
E01000125,26.704,3
E01000126,33.625,2
E01000127,27.543,3
E01000128,27.055,3
E01000129,31.0,3
E01000130,30.863,3
E01000131,20.904,5
E01000132,25.53,4
E01000133,30.774,3
E01000134,24.669,4
E01000135,12.523,7
E01000136,8.96,8
