LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density
E01000001,,,,,,6.208,9,69.8233,11363.6,95304.0,7182.0
E01000002,,,,,,5.143,10,83.782,6062.2,82022.0,5947.0
E01000003,,,,,,19.402,5,41.7417,27385.4,91114.0,4657.0
E01000005,,,,,,28.652,3,85.8893,5801.7,69722.0,4988.0
E01000006,316.0,0.0,0.0,0.0,0.0,19.837,5,22.4558,12585.3,49985.0,970.0
E01000007,1509.0,1.0,1.0,1.0,1.0,31.576,3,33.3023,14540.0,64688.0,2618.0
E01000008,626.0,0.0,0.0,0.0,1.0,37.596,2,7.39059,9271.7,60062.0,3038.0
E01000009,884.0,0.0,1.0,1.0,1.0,32.844,3,38.3641,14104.8,60870.0,1889.0
E01000010,,,,,,32.437,3,32.286,,64101.0,3418.0
E01000011,321.0,0.0,0.0,0.0,0.0,30.679,3,31.9167,18549.6,70124.0,1339.0
E01000012,479.0,0.0,0.0,0.0,0.0,34.714,2,16.2314,16702.3,40998.0,2236.0
E01000013,800.0,0.0,1.0,1.0,1.0,38.997,2,13.1449,9003.8,45492.0,805.0
E01000014,348.0,0.0,0.0,0.0,0.0,35.67,2,7.46001,5131.9,25490.0,432.0
E01000015,423.0,0.0,0.0,0.0,0.0,33.632,2,8.29508,8617.2,32065.0,803.0
E01000016,283.0,0.0,0.0,0.0,0.0,32.839,3,5.11561,9310.9,33677.0,652.0
E01000017,272.0,0.0,0.0,0.0,0.0,39.004,2,8.20281,10871.2,37113.0,535.0
E01000018,347.0,0.0,0.0,0.0,0.0,33.406,2,7.37822,10212.8,44989.0,490.0
E01000019,239.0,0.0,0.0,0.0,0.0,33.62,2,4.58686,9044.8,51578.0,814.0
E01000020,301.0,0.0,0.0,0.0,0.0,36.035,2,6.75302,11704.1,48494.0,578.0
E01000021,446.0,0.0,0.0,0.0,0.0,38.888,2,4.86539,9953.0,48942.0,665.0
E01000022,216.0,0.0,0.0,0.0,0.0,34.413,2,6.39859,11512.1,39124.0,678.0
E01000023,,,,,,36.877,2,7.01491,,53989.0,1363.0
E01000024,237.0,0.0,0.0,0.0,0.0,29.339,3,7.43551,11547.4,56372.0,453.0
E01000025,326.0,0.0,0.0,0.0,0.0,36.702,2,5.75121,12516.3,28245.0,418.0
E01000027,486.0,0.0,0.0,0.0,0.0,37.347,2,3.85844,1412.0,14129.0,552.0
E01000028,348.0,0.0,0.0,0.0,0.0,40.078,2,3.01489,12635.6,64319.0,707.0
E01000029,310.0,0.0,0.0,0.0,0.0,22.503,4,2.5171,7080.6,55798.0,861.0
E01000030,707.0,0.0,0.0,1.0,1.0,38.415,2,4.82101,8949.0,67596.0,1586.0
E01000031,414.0,0.0,0.0,0.0,0.0,22.672,4,4.07693,2098.6,15490.0,294.0
E01000032,593.0,0.0,0.0,0.0,1.0,29.958,3,6.6856,5534.0,29188.0,606.0
E01000033,281.0,0.0,0.0,0.0,0.0,37.978,2,3.91504,10619.4,41882.0,602.0
E01000034,285.0,0.0,0.0,0.0,0.0,35.895,2,3.51145,3066.6,28995.0,761.0
E01000035,612.0,0.0,0.0,0.0,1.0,26.175,4,6.7778,4681.4,26372.0,570.0
E01000036,363.0,0.0,0.0,0.0,0.0,19.27,5,7.34586,3510.9,26786.0,533.0
E01000037,327.0,0.0,0.0,0.0,0.0,17.988,5,2.32273,7270.8,40061.0,749.0
E01000038,170.0,0.0,0.0,0.0,0.0,19.646,5,8.36135,7547.9,30890.0,325.0
E01000039,247.0,0.0,0.0,0.0,0.0,22.288,4,1.99736,1143.8,23309.0,780.0
E01000040,393.0,0.0,0.0,0.0,0.0,34.608,2,9.00812,11007.6,47918.0,1653.0
E01000041,251.0,0.0,0.0,0.0,0.0,33.173,3,5.72093,12070.8,36328.0,488.0
