LSOA11CD,ptal_score
E01000001,69.8233
E01000002,83.782
E01000003,41.7417
E01000005,85.8893
E01000006,22.4558
E01000007,33.3023
E01000008,7.39059
E01000009,38.3641
E01000010,32.286
E01000011,31.9167
E01000012,16.2314
E01000013,13.1449
E01000014,7.46001
E01000015,8.29508
E01000016,5.11561
E01000017,8.20281
E01000018,7.37822
E01000019,4.58686
E01000020,6.75302
E01000021,4.86539
E01000022,6.39859
E01000023,7.01491
E01000024,7.43551
E01000025,5.75121
E01000027,3.85844
E01000028,3.01489
E01000029,2.5171
E01000030,4.82101
E01000031,4.07693
E01000032,6.6856
E01000033,3.91504
E01000034,3.51145
E01000035,6.7778
E01000036,7.34586
E01000037,2.32273
E01000038,8.36135
E01000039,1.99736
E01000040,9.00812
E01000041,5.72093
E01000042,8.48745
E01000043,7.26782
E01000044,8.7118
E01000045,7.08704
E01000046,6.09177
E01000048,8.13742
E01000049,7.73561
E01000050,23.446
E01000051,13.4392
E01000052,7.91239
E01000053,5.84284
E01000054,6.31438
E01000055,7.7862
E01000056,1.62771
E01000057,9.98087
E01000058,7.25869
E01000059,5.43468
E01000060,4.72838
E01000061,7.36381
E01000062,4.4875
E01000063,7.42822
E01000064,4.11487
E01000065,5.82993
E01000066,3.48363
E01000067,5.81071
E01000068,16.9529
E01000069,8.91029
E01000070,9.08794
E01000071,8.50495
E01000072,3.4708
E01000073,3.68102
E01000074,5.22423
E01000075,9.06998
E01000076,5.92267
E01000077,7.48654
E01000078,6.90947
E01000079,5.87476
E01000080,5.88791
E01000081,4.9585
E01000082,4.94285
E01000083,7.38619
E01000084,13.9159
E01000085,13.5581
E01000086,11.3246
E01000087,7.1013
E01000088,4.09005
E01000089,3.14651
E01000090,3.1872
E01000091,4.69844
E01000092,2.50159
E01000093,4.76951
E01000094,3.08911
E01000095,3.88439
E01000096,3.51993
E01000097,14.5706
E01000098,11.0563
E01000099,9.59104
E01000100,4.91511
E01000101,8.70126
E01000102,5.78336
E01000103,3.04832
E01000104,8.24809
E01000105,8.9166
E01000106,4.76699
E01000107,2.67607
E01000108,9.5896
E01000109,4.30923
E01000110,5.20468
E01000111,5.31493
E01000112,9.71421
E01000113,14.5377
E01000114,5.97464
E01000115,7.01025
E01000116,5.3088
E01000117,5.74797
E01000118,5.74361
E01000119,8.40527
E01000120,7.20748
E01000121,3.31441
E01000122,3.91162
E01000123,5.58762
E01000124,12.9099
E01000125,12.3823
E01000126,4.62348
E01000127,14.6656
E01000128,14.6214
E01000129,20.5564
E01000130,9.84947
E01000131,8.7169
E01000132,10.0333
E01000133,11.5425
E01000134,11.0418
E01000135,14.616
E01000136,11.6318
E01000137,11.4895
E01000138,10.2718
E01000139,10.1868
E01000140,14.5111
E01000141,17.3824
E01000142,12.9837
E01000143,13.9178
E01000144,24.4656
E01000145,12.0305
E01000146,30.0335
E01000147,4.9307
E01000148,11.2697
E01000150,5.09996
E01000151,4.13997
E01000152,3.94988
E01000153,5.49369
E01000154,9.27649
E01000155,12.0205
E01000156,8.16457
E01000157,4.75052
E01000158,6.74756
E01000159,4.51445
E01000160,7.35754
E01000161,9.4314
E01000162,10.2149
E01000163,3.79625
E01000164,7.30712
E01000165,8.8973
E01000166,5.24531
E01000167,1.79421
E01000168,6.79275
E01000169,6.72274
E01000170,8.01471
