osm_id,code,fclass,name
"2534762","2252",pitch,
"2838058","2204",park,
"2903046","2204",park,
"2903368","2204",park,St Michael's Green
"2903369","2204",park,
"2903398","2204",park,Bush Hill Park
"2914274","2204",park,Stephens House & Grounds
"2926821","2204",park,Oakwood Park
"2939009","2204",park,Enfield Town Park
"2939140","2204",park,Victoria Recreation Ground
"2953350","2204",park,Sunnyhill Park
"2955990","2204",park,Whetstone Stray
"2956123","2252",pitch,
"2956125","2204",park,School Playing Fields
"2956187","2008",town_hall,Lewisham Town Hall
"2956188","2201",theatre,Broadway Theatre
"2956192","2522",sports_shop,JD Sports
"2956193","2251",sports_centre,Air Thrill
"2956783","2204",park,Lewisham Park
"3178749","2204",park,Norfolk Square Garden
"3241371","2204",park,Russell Square
"3241840","2204",park,Tavistock Square
"3385169","2204",park,Glebelands Playing Fields Park
"3400436","2204",park,Friary Park
"3401837","2204",park,Hatherop Park
"3430579","2204",park,Carlisle Park
"3541791","2204",park,Hampton Court Green
"3595906","2204",park,
"3664747","2204",park,Durants Park
"3687942","2204",park,
"3690582","2204",park,
"3690586","2204",park,
"3690598","2204",park,The Pleasance
"3725111","2204",park,
"3794047","2252",pitch,
"3810263","2255",golf_course,Bush Hill Park Golf Club
"3810529","2255",golf_course,Trent Park Golf Course
"3810598","2255",golf_course,Enfield Golf Club
"3819393","2255",golf_course,Hadley Wood Golf Course
"3848339","2255",golf_course,Old Fold Manor Golf Course
"3872808","2204",park,Broomfield Park
"3986346","2204",park,Kensington Gardens
"3988895","2204",park,Grove Park
"3991615","2204",park,Hampton Court Park
"3991822","2252",pitch,
"4001091","2015",graveyard,Hoop Lane Jewish Cemetery
"4001101","2204",park,Big Wood
"4001292","2015",graveyard,East Finchley Cemetery
"4001293","2015",graveyard,St Pancras and Islington Cemetery
"4001293","2204",park,St Pancras and Islington Cemetery
"4006015","2204",park,Old Deer Park
"4013115","2255",golf_course,South Hertfordshire Golf course
"4013452","2204",park,Arrandene Open Space
"4020542","2204",park,Fortune Green
"4020620","2204",park,Grove Farm local nature reserve
"4040566","2204",park,Hendon Park
"4040975","2204",park,Wood End East Recreation Ground
"4045176","2204",park,Gladstone Park
"4045840","2204",park,Bellingham Green
"4045842","2204",park,Mountsfield Park
"4049350","2204",park,Lammas Park
"4068461","2082",school,Wood End Primary School
"4072806","2204",park,Queens Park
"4075108","2204",park,Lincoln's Inn
"4075881","2252",pitch,
"4075902","2001",police,Catford Police Station
"4076614","2251",sports_centre,St Dunstan's College Jubilee Grounds
"4076620","2543",doityourself,Wickes
"4076656","2501",supermarket,Sainsbury's
"4076730","2204",park,Bethune Park
"4076765","2252",pitch,
"4078565","2255",golf_course,Lee Valley Golf Course
"4078566","2204",park,Craig Park
"4078567","2204",park,Pymmes Park
"4078593","2204",park,
"4080097","2255",golf_course,North Middlesex Golf Club
"4081049","2204",park,Grosvenor Square
"4082589","2204",park,Leicester Square
"4082589","2721",attraction,Leicester Square
"4082666","2204",park,Primrose Hill
"4085758","2204",park,Stanley Park
"4089030","2015",graveyard,Hampstead Cemetery
"4089030","2204",park,Hampstead Cemetery
"4090241","2204",park,Church Fields
"4097473","2204",park,Fairland Park
"4097475","2082",school,North Harringay Primary School
"4097476","2204",park,Finsbury Park
"4111166","2204",park,Wimbledon Park
"4116247","2204",park,Monken Hadley Common
"4132124","2082",school,Queens Park Community School
"4133074","2204",park,Aldersbrook Avenue Recreation Ground
"4134680","2204",park,
"4159433","2204",park,
"4179926","2255",golf_course,Hendon Golf Course
"4188297","2204",park,Ludgrove Playing Field
"4194174","2204",park,
"4211785","2110",hospital,St Ann's Hospital
"4211972","2015",graveyard,Paddington Old Cemetery
"4218878","2015",graveyard,Lavender Hill Cemetery
"4218891","2015",graveyard,
"4229534","2082",school,Harris Lowe Academy Willesden
"4234161","2252",pitch,Sunley Field
"4234606","2082",school,Hornsey School for Girls
"4234648","2204",park,Stationers Park
"4234649","2082",school,Weston Park Primary School
"4239295","2082",school,Lauriston School
"4239815","2204",park,Parsons Green
"4242918","2204",park,Chelmsford Square Tennis Courts & Gardens
"4242930","2204",park,Roundwood Park
"4243023","2501",supermarket,Sainsbury's
"4244828","2204",park,Hammersmith Park
"4244829","2204",park,Shepherds Bush Green
"4245003","2204",park,Cranford Country Park
"4248571","2255",golf_course,Stanmore Golf Club
"4248612","2204",park,Preston Park
"4250453","2255",golf_course,Sudbury Golf Course
"4250571","2255",golf_course,Ealing Golf Course
"4250991","2252",pitch,
"4251005","2252",pitch,
"4251103","2251",sports_centre,Ealing Cricket Club
"4251186","2204",park,Walpole Park
"4251190","2204",park,Dean Gardens
"4251232","2015",graveyard,Hortus Burial Ground
"4251251","2255",golf_course,Airlinks Golf Course
"4251253","2252",pitch,
"4251257","2252",pitch,
"4251258","2252",pitch,
"4252522","2204",park,Hurlingham Park
"4252532","2204",park,South Park
"4253226","2961",wastewater_plant,Mogden Sewage Works
"4253286","2204",park,Woburn Square
"4253288","2204",park,Gordon Square
"4253353","2204",park,St. John's Gardens
"4253527","2204",park,West Square Garden
"4253555","2256",stadium,Allianz Stadium
"4253646","2204",park,Queen Square Gardens
"4253657","2204",park,Red Lion Square Gardens
"4253735","2252",pitch,
"4253887","2204",park,Berkeley Square
"4253932","2015",graveyard,
"4253932","2204",park,
"4254099","2204",park,Victoria Embankment Gardens
"4254146","2252",pitch,
"4255486","2721",attraction,Mixed Bathing Pond No 3
"4255959","2204",park,Goose Green
"4256144","2204",park,Argyle Square Gardens
"4256229","2204",park,Golden Square
"4256244","2401",hotel,"Holiday Inn, Bloomsbury"
"4256262","2015",graveyard,Saint Pancras' Gardens
"4256264","2204",park,Vauxhall Pleasure Gardens
"4256651","2205",playground,Vauxhall Walk Playground
"4256950","2204",park,Whitehall Garden
"4256953","2204",park,Whitehall Garden
"4256958","2721",attraction,Horse Guards Parade
"4257005","2204",park,Grosvenor Gardens
"4257006","2204",park,Grosvenor Gardens
"4257343","2205",playground,
"4257684","2252",pitch,
"4257697","2204",park,Fairlop Waters Country Park
"4258095","2204",park,Christchurch Gardens
"4259619","2204",park,Dean's Yard
"4259627","2204",park,College Green
"4259687","2204",park,Victoria Tower Gardens
"4259726","2204",park,St John's Gardens
"4259897","2204",park,Riverside Walk Gardens
"4259902","2204",park,Millbank Gardens
"4259910","2204",park,Causton Street Playground
"4260005","2252",pitch,
"4260006","2205",playground,
"4260009","2204",park,Archbishop's Park
"4262577","2082",school,Oaks Park High School
"4263128","2252",pitch,
"4263129","2252",pitch,
"4263338","2252",pitch,
"4263344","2252",pitch,Cricket Ground
"4263357","2252",pitch,
"4263358","2252",pitch,
"4263365","2204",park,
"4263419","2252",pitch,
"4263420","2252",pitch,
"4264353","2251",sports_centre,Parliament Hill Lido
"4264375","2252",pitch,
"4267353","2204",park,Clitterhouse Playing Fields
"4267812","2082",school,The Crest Academy
"4268009","2252",pitch,
"4268231","2204",park,Lowlands Recreation Ground
"4268233","2204",park,The Grove Open Space
"4268543","2255",golf_course,Roehampton Club Golf Course
"4268580","2255",golf_course,Richmond Park Golf Course
"4268663","2015",graveyard,Putney Vale Cemetery
"4270045","2252",pitch,
"4270104","2204",park,Barkingside Recreation Ground
"4270349","2251",sports_centre,Lee Valley Athletics Centre
"4270352","2203",cinema,Odeon Lee Valley
"4270429","2424",caravan_site,Lea Valley Camping and Caravan Park
"4270736","2251",sports_centre,Osterley Sports Centre
"4271138","2110",hospital,North Middlesex University Hospital
"4271516","2204",park,Mandeville Parkway
"4272920","2204",park,Crabtree Fields
"4274490","2204",park,Chestnuts Park
"4275669","2204",park,
"4276445","2015",graveyard,Southgate Cemetery
"4280573","2204",park,Tatem Park
"4282738","2255",golf_course,Stapleford Abbotts - Priors Golf Course
"4287154","2204",park,Priory Park
"4289483","2255",golf_course,Risebridge Golf Centre
"4289772","2255",golf_course,Romford Golf Club
"4289781","2204",park,
"4289919","2252",pitch,
"4289922","2252",pitch,
"4289923","2252",pitch,
"4289924","2252",pitch,West Ham Training Ground
