osm_id,code,fclass,name
"99884","2906",waste_basket,
"108539","2566",bicycle_rental,Windsor Terrace
"388826","2701",tourist_info,
"451152","2304",pub,King of Prussia
"451153","2301",restaurant,Central Restaurant
"451154","2304",pub,The Catcher in the Rye
"451271","2304",pub,The Tally Ho
"3210224","2004",post_box,
"10698810","2004",post_box,
"10702727","2004",post_box,
"11898550","2004",post_box,
"12242503","2304",pub,Railway Bell
"13565573","2907",camera_surveillance,
"13799212","2007",library,Holborn Library
"13833379","2005",post_office,Torridon Road Post Office
"13833380","2004",post_box,
"13833381","2004",post_box,
"13878265","2007",library,Catford Library
"15262028","2304",pub,The Monkey Puzzle
"16602695","2006",telephone,
"16960853","2904",fountain,Diana Fountain
"16960853","2725",artwork,Diana Fountain
"18064314","2907",camera_surveillance,
"18235090","2304",pub,The Arab Boy
"20821133","2304",pub,The Union Bar
"20849686","2901",toilet,
"20849687","2303",cafe,
"20851184","2252",pitch,The Royal Tennis Court
"20910215","2901",toilet,
"20973308","2004",post_box,
"20973312","2304",pub,Kings Arms
"20973316","2304",pub,The Waterside
"21381999","2030",recycling,
"21524558","2902",bench,
"21563447","2004",post_box,
"21593232","2304",pub,The Last Judgement
"21593236","2304",pub,Ship Tavern
"21593237","2305",bar,The Polish Bar (Na Zdrowie)
"21593238","2305",bar,All Bar One
"21596437","2004",post_box,
"21686579","2304",pub,White Haus
"21693791","2305",bar,The Saint
"21776749","2005",post_office,Sudbury Hill Post Office
"23693588","2004",post_box,
"23723987","2701",tourist_info,
"23724048","2701",tourist_info,Oak Hill Park
"25471087","2304",pub,Marquess of Anglesey
"25473538","2304",pub,The Liberty Bounds
"25474641","2203",cinema,Barbican Centre (Cinema)
"25475187","2304",pub,The Cheshire Cheese
"25475341","2004",post_box,
"25475389","2303",cafe,Woburn Cafe
"25475914","2304",pub,The Swan
"25496840","2304",pub,26 Furnival Street
"25497832","2303",cafe,Cafe Angel
"25507018","2724",memorial,Royal Tank Regiment Memorial
"25507019","2724",memorial,The Gurkha Soldier
"25507022","2724",memorial,Anglo-Belgian War Memorial
"25507023","2725",artwork,Spencer Compton
"25507033","2724",memorial,Royal Air Force Memorial
"25507034","2724",memorial,Battle of Britain Memorial
"25507035","2723",monument,Douglas Haig
"25507036","2724",memorial,"Alan Brooke, 1st Viscount Alanbrooke"
"25507037","2724",memorial,Monty
"25508657","2725",artwork,Queen Charlotte
"25508658","2725",artwork,
"25510381","2304",pub,Crown & Cushion
"25523569","2304",pub,Shortlands Tavern
"25524219","2304",pub,The Railway
"25530336","2004",post_box,
"25530879","2004",post_box,
"25534499","2901",toilet,
"25534556","2004",post_box,
"25535969","2004",post_box,
"25536894","2031",recycling_glass,
"25544097","2004",post_box,
"25544124","2511",convenience,Tesco Express
"25592547","2304",pub,The Duke of York
"25597628","2304",pub,The Angelic
"25641515","2544",furniture_shop,
"25641588","2004",post_box,
"25717653","2304",pub,The Old Ale Emporium
"25717655","2304",pub,The Beaconsfield
"25729218","2304",pub,The Brockley Jack
"25744359","2004",post_box,
"25744394","2511",convenience,Tesco Express
"25744422","2301",restaurant,Bold Food & Bar
"25744507","2304",pub,Aces and Eights Saloon Bar
"25744530","2305",bar,The Boston Arms
"25746185","2304",pub,The Cheshire Cheese
"25813308","2511",convenience,Tesco Express
"25831302","2305",bar,Lockside Lounge
"25831313","2305",bar,Lock 17
"25962160","2568",laundry,Chris Dry Cleaners
"25962570","2030",recycling,
"25991205","2303",cafe,Jack's Cafe
"26018491","2009",courthouse,St Mary's Court
"26038523","2004",post_box,
"26047836","2030",recycling,
"26065903","2304",pub,The BlackStock
"26122845","2030",recycling,
"26196951","2004",post_box,
"26197017","2304",pub,The White Lion of Mortimer
"26197230","2004",post_box,
"26197239","2006",telephone,
"26198082","2006",telephone,
"26199004","2006",telephone,
"26268106","2004",post_box,
"26268421","2004",post_box,
"26269218","2303",cafe,Springfield Park Cafe
"26310696","2305",bar,Fox on the Green
"26363049","2304",pub,The Gate
"26425131","2006",telephone,
"26425461","2006",telephone,
"26462198","2004",post_box,
"26462213","2004",post_box,
"26462232","2004",post_box,
"26462254","2004",post_box,
"26468744","2004",post_box,
"26468751","2004",post_box,
"26508294","2006",telephone,
"26508303","2004",post_box,
"26525066","2004",post_box,
"26525209","2004",post_box,
"26541768","2004",post_box,
"26541903","2004",post_box,
"26542844","2082",school,
"26542873","2004",post_box,
"26542878","2006",telephone,
"26544484","2301",restaurant,Casuarina Tree
"26544810","2004",post_box,
"26545058","2251",sports_centre,Canons Leisure Centre
"26545708","2723",monument,The Obelisk
"26559743","2721",attraction,
"26573161","2203",cinema,Odeon Mezzanine
"26573168","2203",cinema,Cineworld Leicester Square
"26573173","2203",cinema,Vue Leicester Square
"26603473","2304",pub,The Load of Hay
"26603928","2301",restaurant,Karma Lounge
"26603929","2304",pub,The Crown
"26604024","2301",restaurant,Jin Li
"26610587","2304",pub,The Good Mixer
"26610587","2723",monument,The Good Mixer
"26610590","2304",pub,The Oxford Arms
"26610612","2305",bar,Canalside Bar
"26618618","2501",supermarket,M&S Foodhall
"26659113","2511",convenience,Sainsbury's Local
"26671967","2203",cinema,Odeon Luxe Haymarket
