LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,length_m_s,road_densi,point_coun,node_densi
E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,E12000007,London,"1465","1465","0",112.9000,"876",1.7000,12713.000000,"95304",958.000000000000000,"7182"
E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,E12000007,London,"1436","1436","0",62.9000,"830",1.7000,18563.000000,"82022",1346.000000000000000,"5947"
E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,E12000007,London,"1346","1250","96",227.7000,"817",1.5000,5224.000000,"91114",267.000000000000000,"4657"
E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,E12000007,London,"985","985","0",52.0000,"467",2.1000,13306.000000,"69722",952.000000000000000,"4988"
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,"1703","1699","4",116.2000,"543",3.1000,7211.000000,"49985",140.000000000000000,"970"
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,"1391","1391","0",69.6000,"612",2.3000,12823.000000,"64688",519.000000000000000,"2618"
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,"1544","1544","0",79.1000,"521",3.0000,11623.000000,"60062",588.000000000000000,"3038"
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,"1773","1773","0",138.6000,"638",2.8000,7831.000000,"60870",243.000000000000000,"1889"
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,"2840","2840","0",80.7000,"1103",2.6000,22372.000000,"64101",1193.000000000000000,"3418"
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,"1634","1628","6",178.2000,"457",3.6000,6335.000000,"70124",121.000000000000000,"1339"
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,E12000007,London,"1901","1895","6",136.8000,"698",2.7000,5757.000000,"40998",314.000000000000000,"2236"
E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,"1660","1660","0",79.9000,"650",2.6000,9495.000000,"45492",168.000000000000000,"805"
E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,"1656","1622","34",48.5000,"638",2.5000,8675.000000,"25490",147.000000000000000,"432"
E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,"2241","2241","0",79.9000,"836",2.7000,8982.000000,"32065",225.000000000000000,"803"
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,"1637","1637","0",82.3000,"626",2.6000,6608.000000,"33677",128.000000000000000,"652"
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,"1594","1594","0",100.6000,"609",2.6000,5970.000000,"37113",86.000000000000000,"535"
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,"1597","1597","0",91.9000,"612",2.6000,7809.000000,"44989",85.000000000000000,"490"
