LSOA11CD,crime_count,hotspot_10,ptal_score,imd_score,pop_density,road_density,node_density
E01000001,449.0,0.0,69.823,6.208,11363.6,95304.0,7182.0
E01000002,449.0,0.0,83.782,5.143,6062.2,82022.0,5947.0
E01000003,449.0,0.0,41.742,19.402,27385.4,91114.0,4657.0
E01000005,449.0,0.0,85.889,28.652,5801.7,69722.0,4988.0
E01000006,316.0,0.0,22.456,19.837,12585.3,49985.0,970.0
E01000007,1509.0,1.0,33.302,31.576,14540.0,64688.0,2618.0
E01000008,626.0,0.0,7.391,37.596,9271.7,60062.0,3038.0
E01000009,884.0,1.0,38.364,32.844,14104.8,60870.0,1889.0
E01000010,871.0,0.0,32.286,32.437,13504.7,64101.0,3418.0
E01000011,321.0,0.0,31.917,30.679,18549.6,70124.0,1339.0
E01000012,479.0,0.0,16.231,34.714,16702.3,40998.0,2236.0
E01000013,800.0,1.0,13.145,38.997,9003.8,45492.0,805.0
E01000014,348.0,0.0,7.46,35.67,5131.9,25490.0,432.0
E01000015,423.0,0.0,8.295,33.632,8617.2,32065.0,803.0
E01000016,283.0,0.0,5.116,32.839,9310.9,33677.0,652.0
E01000017,272.0,0.0,8.203,39.004,10871.2,37113.0,535.0
E01000018,347.0,0.0,7.378,33.406,10212.8,44989.0,490.0
E01000019,239.0,0.0,4.587,33.62,9044.8,51578.0,814.0
E01000020,301.0,0.0,6.753,36.035,11704.1,48494.0,578.0
E01000021,446.0,0.0,4.865,38.888,9953.0,48942.0,665.0
E01000022,216.0,0.0,6.399,34.413,11512.1,39124.0,678.0
E01000023,323.0,0.0,7.015,36.877,11083.9,53989.0,1363.0
E01000024,237.0,0.0,7.436,29.339,11547.4,56372.0,453.0
E01000025,326.0,0.0,5.751,36.702,12516.3,28245.0,418.0
E01000027,486.0,0.0,3.858,37.347,1412.0,14129.0,552.0
E01000028,348.0,0.0,3.015,40.078,12635.6,64319.0,707.0
E01000029,310.0,0.0,2.517,22.503,7080.6,55798.0,861.0
E01000030,707.0,0.0,4.821,38.415,8949.0,67596.0,1586.0
E01000031,414.0,0.0,4.077,22.672,2098.6,15490.0,294.0
E01000032,593.0,0.0,6.686,29.958,5534.0,29188.0,606.0
E01000033,281.0,0.0,3.915,37.978,10619.4,41882.0,602.0
E01000034,285.0,0.0,3.511,35.895,3066.6,28995.0,761.0
E01000035,612.0,0.0,6.778,26.175,4681.4,26372.0,570.0
E01000036,363.0,0.0,7.346,19.27,3510.9,26786.0,533.0
E01000037,327.0,0.0,2.323,17.988,7270.8,40061.0,749.0
E01000038,170.0,0.0,8.361,19.646,7547.9,30890.0,325.0
E01000039,247.0,0.0,1.997,22.288,1143.8,23309.0,780.0
E01000040,393.0,0.0,9.008,34.608,11007.6,47918.0,1653.0
