ptal_score,imd_score,log_pop_density
69.823,6.208,9.33825853989075
83.782,5.143,8.709992992497819
41.742,19.402,10.21780181878858
85.889,28.652,8.666078605456354
22.456,19.837,9.44036419981107
33.302,31.576,9.584727524513486
7.391,37.596,9.134829878287242
38.364,32.844,9.554341339303793
32.286,32.437,9.510867097538023
31.917,30.679,9.82825741252597
16.231,34.714,9.723361583674011
13.145,38.997,9.105513047480015
7.46,35.67,8.543426080585999
8.295,33.632,9.061631525147158
5.116,32.839,9.139048431081942
8.203,39.004,9.293964351541101
7.378,33.406,9.231495026048579
4.587,33.62,9.110055840573832
6.753,36.035,9.367779923246056
4.865,38.888,9.2057297594185
6.399,34.413,9.351240796469348
7.015,36.877,9.313339100809902
7.436,29.339,9.354302178215503
5.751,36.702,9.43486696644514
3.858,37.347,7.253470382684528
3.015,40.078,9.444352644175492
2.517,22.503,8.865255149856731
4.821,38.415,9.099408811268901
4.077,22.672,7.649502129378145
6.686,29.958,8.618846845142738
3.915,37.978,9.270531958870057
3.511,35.895,8.028650775890704
6.778,26.175,8.451566077977011
7.346,19.27,8.163912480545521
2.323,17.988,8.891759132728833
8.361,19.646,8.929157136264232
1.997,22.288,7.042985228242241
9.008,34.608,9.30643206450169
5.721,33.173,9.398627433047357
8.487,41.573,9.004680585001791
7.268,28.075,8.66051401086046
8.712,28.389,9.362400296267925
7.087,35.688,8.661657105653951
6.092,29.763,9.43984763187686
8.137,44.704,9.36586439405141
7.736,41.172,9.137178106347198
23.446,34.701,9.499728488307154
13.439,36.941,9.718518494200762
7.912,33.284,9.380825486994182
5.843,40.044,9.098246124437267
6.314,29.788,9.2992391334014
7.786,30.898,9.365556198618824
1.628,35.903,8.851935360905419
9.981,32.887,9.25867328876682
7.259,31.763,9.368958202070901
5.435,32.331,9.01218207335588
4.728,36.154,8.285362011704462
7.364,46.283,8.056490177053456
4.488,26.669,9.21269759154986
7.428,33.371,9.191504077629888
4.115,35.283,9.305395973923769
5.83,39.89,9.046125888191261
3.484,25.763,9.230652673288061
5.811,20.973,9.360637923744937
16.953,25.603,8.572646819601204
8.91,16.375,9.254826047015461
9.088,21.038,8.573951525234847
8.505,18.848,9.172794255902213
3.471,41.016,8.326541031301957
3.681,38.757,8.778680148084833
5.224,35.044,9.27925990744078
9.07,36.999,8.299310776023498
5.923,36.246,9.335465278905083
7.487,41.032,9.199451300644014
6.909,35.033,9.287579152316985
5.875,34.522,8.620399388194647
5.888,33.185,8.946856480960744
4.958,30.608,9.27200915434955
4.943,27.895,9.384730558443858
7.386,34.377,9.275003885301905
